Description,Port,Lag,AdminState,Link,OperState,Mode,Encap,ConfigDuplex,Mtu,AutoNegotiate,PortModule,LinkLength,RxOptical,InTraffic,OutTraffic,FCSErrors
 10/100/Gig Ethernet SFP,'1/1/1,-,up,Yes,up                        ,network,null,full,1514,limited,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/2,-,up,Yes,up                        ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/3,-,up,Yes,up                        ,network,null,full,1514,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/4,1,up,Yes,up,network,null,full,8704,limited,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/5,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/6,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/7,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/8,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/9,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/10,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/11,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/12,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/13,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/14,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/15,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/16,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/17,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/18,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/19,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100/Gig Ethernet SFP,'1/1/20,-,down,No,down                      ,network,null,full,8704,true,GIGE-LX,10km,-40.00,0.00%,0.00%,0
 10/100 Ethernet TX,'A/1,-,up,Yes,up                        ,network,null,full,1514,true,MDI,,,,,0
 10/100 Ethernet TX,'B/1,-,up,No,down                      ,network,null,full,1514,true,unknown,,,,,0
